Data,IPEDS ID,Year,NCAA Subdivision,FBS Conference,Total Expenses,Medical,Recruiting,Game Expenses and Travel,Coaches Compensation,Athletic Student Aid,Total Revenues,"Corporate Sponsorship, Advertising, Licensing",Donor Contributions,Competition Guarantees,Ticket Sales
Arizona State University,104151,2009,Football Bowl Subdivision,Pacific-12 Conference,"53,032,149","1,276,932","676,453","5,906,947","10,132,711","9,296,638","51,892,026","4,626,539","10,989,254","1,682,572","13,418,157"
Arizona State University,104151,2010,Football Bowl Subdivision,Pacific-12 Conference,"57,905,546","1,161,431","796,769","5,618,625","10,641,906","9,886,143","56,505,165","10,447,662","10,095,247","1,274,580","12,039,166"
Arizona State University,104151,2011,Football Bowl Subdivision,Pacific-12 Conference,"57,080,884","1,056,232","723,111","6,001,109","10,699,714","10,362,086","55,294,113","10,816,783","11,982,854","1,726,998","8,103,692"
Arizona State University,104151,2012,Football Bowl Subdivision,Pacific-12 Conference,"65,587,903","1,121,391","897,577","7,245,906","11,717,658","11,168,165","59,855,508","11,167,339","11,265,732","982,651","9,059,072"
Arizona State University,104151,2013,Football Bowl Subdivision,Pacific-12 Conference,"65,600,187","1,470,458","1,172,091","7,763,248","13,608,615","12,136,090","65,673,955","9,028,905","12,737,532","300,000","9,589,992"
Arizona State University,104151,2014,Football Bowl Subdivision,Pacific-12 Conference,"74,553,104","1,595,842","1,108,996","8,572,188","16,713,127","12,701,825","74,729,269","10,148,054","13,499,765","1,400,000","12,885,134"
Arizona State University,104151,2015,Football Bowl Subdivision,Pacific-12 Conference,"83,873,516","1,846,329","1,174,263","9,375,181","17,775,568","11,344,540","84,440,040","10,279,135","14,770,823",0,"11,042,051"
Arizona State University,104151,2016,Football Bowl Subdivision,Pacific-12 Conference,"89,086,777","1,504,430","1,201,961","9,058,326","17,067,549","13,913,627","94,662,743","13,656,265","16,660,713","2,344,292","11,899,256"
Arizona State University,104151,2017,Football Bowl Subdivision,Pacific-12 Conference,"98,825,395","1,771,453","1,482,432","8,527,066","19,134,263","14,775,932","101,579,860","16,611,557","19,802,494","568,500","10,033,481"
Arizona State University,104151,2018,Football Bowl Subdivision,Pacific-12 Conference,"126,782,387","1,630,447","1,543,683","11,221,325","20,838,455","15,708,959","113,636,755","18,070,949","24,994,817","506,500","12,401,920"
Arkansas State University,106458,2005,Football Bowl Subdivision,Sun Belt Conference,"9,424,316","137,850","187,579","1,301,564","1,974,202","2,444,751","7,214,040","449,485","563,046","1,365,850","803,100"
Arkansas State University,106458,2006,Football Bowl Subdivision,Sun Belt Conference,"10,416,949","205,447","209,664","1,391,805","2,480,031","2,527,687","7,821,660","392,271","502,438","654,320","1,464,000"
Arkansas State University,106458,2007,Football Bowl Subdivision,Sun Belt Conference,"10,392,939","184,744","220,932","1,572,965","2,515,350","2,688,976","7,827,764","404,918","539,127","1,295,990","943,097"
Arkansas State University,106458,2008,Football Bowl Subdivision,Sun Belt Conference,"10,388,098","154,858","231,888","1,409,834","2,452,978","2,873,555","8,392,852","378,677","398,116","1,888,150","957,610"
Arkansas State University,106458,2009,Football Bowl Subdivision,Sun Belt Conference,"11,051,532","163,849","246,843","1,692,966","2,054,015","3,008,922","9,975,076","256,893","614,531","1,881,000","995,033"
Arkansas State University,106458,2010,Football Bowl Subdivision,Sun Belt Conference,"13,332,956","163,892","246,524","1,693,298","3,338,898","4,157,892","9,478,903","332,663","586,760","2,200,000","889,970"
Arkansas State University,106458,2011,Football Bowl Subdivision,Sun Belt Conference,"13,374,507","117,146","312,371","1,880,131","2,767,091","4,558,885","13,374,507","203,881","64,506","2,792,250","837,468"
Arkansas State University,106458,2012,Football Bowl Subdivision,Sun Belt Conference,"15,307,308","147,346","301,878","2,130,975","3,208,770","4,764,140","15,307,308","482,788","84,237","2,245,200","1,296,962"
Arkansas State University,106458,2013,Football Bowl Subdivision,Sun Belt Conference,"16,281,038","90,075","396,511","2,547,630","3,727,281","4,357,902","16,281,038","251,348","403,388","2,250,000","1,398,414"
Arkansas State University,106458,2014,Football Bowl Subdivision,Sun Belt Conference,"20,151,793","170,297","432,068","2,743,236","3,762,577","5,384,046","20,151,793","644,444","1,560,468","1,921,000","1,455,252"
Arkansas State University,106458,2015,Football Bowl Subdivision,Sun Belt Conference,"29,211,785","173,356","429,375","2,787,993","4,062,200","5,434,855","29,211,785","1,404,252","6,281,980","1,533,000","1,313,939"
Arkansas State University,106458,2016,Football Bowl Subdivision,Sun Belt Conference,"43,102,044","293,925","467,315","3,418,411","4,271,784","6,755,420","43,102,044","1,619,354","2,220,434","1,773,000","1,666,852"
Arkansas State University,106458,2017,Football Bowl Subdivision,Sun Belt Conference,"39,459,027","235,302","546,870","3,289,607","4,519,859","6,858,838","39,459,027","2,748,570","9,594,061","1,974,500","1,507,387"
Arkansas State University,106458,2018,Football Bowl Subdivision,Sun Belt Conference,"40,098,989","259,991","475,581","3,380,497","4,778,912","7,265,690","40,098,989","3,497,265","9,541,269","1,986,500","1,374,396"
Auburn University,100858,2005,Football Bowl Subdivision,Southeastern Conference,"61,314,114","506,357","1,456,760","5,498,654","9,698,471","6,124,949","57,395,152","888,953","22,865,880","825,000","15,842,982"
Auburn University,100858,2006,Football Bowl Subdivision,Southeastern Conference,"63,249,119","745,190","1,739,224","5,545,630","10,270,828","6,614,949","66,599,925","1,110,444","26,306,262","825,480","20,099,721"
Auburn University,100858,2007,Football Bowl Subdivision,Southeastern Conference,"68,910,465","726,098","1,375,569","6,207,463","10,905,708","6,594,450","81,799,266","977,585","31,715,011",0,"21,796,102"
Auburn University,100858,2008,Football Bowl Subdivision,Southeastern Conference,"69,841,200","649,485","1,452,521","6,388,877","11,330,594","7,141,616","89,311,824","6,079,271","34,897,688","106,289","21,991,623"
Auburn University,100858,2009,Football Bowl Subdivision,Southeastern Conference,"85,480,343","644,218","1,585,843","6,614,035","11,930,855","7,554,922","87,001,413","3,396,585","32,080,789","380,000","23,514,179"
Auburn University,100858,2010,Football Bowl Subdivision,Southeastern Conference,"90,908,902","679,440","1,671,581","7,261,953","13,928,324","8,797,738","92,611,558","3,188,793","29,731,122",0,"24,732,134"
Auburn University,100858,2011,Football Bowl Subdivision,Southeastern Conference,"100,497,784","852,477","2,132,892","8,859,213","19,795,958","9,733,611","103,982,441","5,154,986","32,849,477","34,900","28,976,730"
Auburn University,100858,2012,Football Bowl Subdivision,Southeastern Conference,"96,315,831","600,138","2,544,910","7,522,375","17,670,721","9,989,376","105,951,251","6,886,435","33,467,775","1,033,075","29,241,252"
Auburn University,100858,2013,Football Bowl Subdivision,Southeastern Conference,"103,126,413","997,064","2,796,184","7,698,941","16,899,520","10,405,906","103,680,609","5,217,605","31,832,026","2,350,218","28,494,559"
Auburn University,100858,2014,Football Bowl Subdivision,Southeastern Conference,"126,470,602","1,034,511","2,709,528","11,203,454","20,371,279","12,004,603","113,716,004","5,275,554","39,409,078","38,000","29,833,441"
Auburn University,100858,2015,Football Bowl Subdivision,Southeastern Conference,"115,498,047","880,528","2,410,161","8,374,185","21,120,891","14,945,396","124,657,247","6,062,826","37,004,887","458,000","30,181,317"
Auburn University,100858,2016,Football Bowl Subdivision,Southeastern Conference,"124,864,399","995,101","2,257,968","9,595,853","22,553,348","15,559,381","140,070,593","6,196,360","35,720,710","3,240,000","32,165,386"
Auburn University,100858,2017,Football Bowl Subdivision,Southeastern Conference,"132,885,979","980,666","2,213,392","10,961,398","23,620,156","15,892,927","147,511,034","8,824,420","35,411,244","58,000","32,991,096"
Auburn University,100858,2018,Football Bowl Subdivision,Southeastern Conference,"139,798,191","935,294","2,083,737","12,219,736","27,013,672","16,998,307","147,620,569","9,630,402","35,683,958","44,000","33,213,941"
Ball State University,150136,2005,Football Bowl Subdivision,Mid-American Conference,"14,803,177","255,837","214,867","1,127,352","3,111,336","4,298,035","15,146,885","167,225","1,457,295","635,600","583,227"
Ball State University,150136,2006,Football Bowl Subdivision,Mid-American Conference,"16,189,583","114,034","223,864","1,390,792","3,412,399","4,460,687","16,192,664","226,643","1,522,225","1,103,500","1,008,701"
Ball State University,150136,2007,Football Bowl Subdivision,Mid-American Conference,"17,144,947","203,461","290,463","1,602,935","3,437,963","4,787,336","17,300,783","187,832","1,925,350","830,386","1,142,979"
Ball State University,150136,2008,Football Bowl Subdivision,Mid-American Conference,"19,441,780","259,677","175,888","2,850,536","4,582,390","5,151,168","22,125,129","321,343","7,876,791","1,498,000","755,855"
Ball State University,150136,2009,Football Bowl Subdivision,Mid-American Conference,"19,616,773","555,659","236,362","1,365,654","4,371,472","5,217,301","20,498,088","628,904","1,285,632","258,400","1,019,853"
Ball State University,150136,2010,Football Bowl Subdivision,Mid-American Conference,"17,347,944","255,695","214,168","1,591,952","4,090,285","5,508,883","20,132,632","588,619","1,353,053","1,062,816","693,218"
Ball State University,150136,2011,Football Bowl Subdivision,Mid-American Conference,"19,506,118","177,152","219,885","1,583,341","4,075,945","6,036,566","20,483,476","719,088","1,444,423","1,295,500","628,719"
Ball State University,150136,2012,Football Bowl Subdivision,Mid-American Conference,"20,174,709","310,474","251,521","1,699,257","4,366,015","6,367,661","21,129,858","591,552","1,543,123","1,111,476","1,562,948"
Ball State University,150136,2013,Football Bowl Subdivision,Mid-American Conference,"22,727,145","574,159","381,883","2,465,660","4,817,146","6,673,197","21,315,999","518,027","571,219","1,047,000","555,765"
Ball State University,150136,2014,Football Bowl Subdivision,Mid-American Conference,"25,245,450","743,045","396,476","3,027,467","4,814,904","6,998,305","23,424,359","721,138","697,601","939,120","1,018,482"
Ball State University,150136,2015,Football Bowl Subdivision,Mid-American Conference,"25,495,662","715,917","365,643","2,713,085","5,128,843","7,250,433","22,800,600","226,030","650,667","1,232,696","609,292"
Ball State University,150136,2016,Football Bowl Subdivision,Mid-American Conference,"27,226,309","778,796","410,694","2,821,501","5,445,289","7,926,764","25,542,539","275,746","310,062","1,833,000","1,064,726"
Ball State University,150136,2017,Football Bowl Subdivision,Mid-American Conference,"27,410,745","416,564","492,471","2,690,372","5,191,011","8,367,947","26,098,565","326,339","770,198","734,250","513,427"
Ball State University,150136,2018,Football Bowl Subdivision,Mid-American Conference,"28,443,728","347,445","479,643","2,654,408","5,646,348","8,228,569","28,634,103","466,700","667,668","1,507,500","1,043,360"
Boise State University,142115,2005,Football Bowl Subdivision,Western Athletic Conference,"16,852,312","137,458","269,561","1,424,176","3,871,151","2,502,743","16,912,927","1,160,696","1,921,897",0,"3,556,301"
Boise State University,142115,2006,Football Bowl Subdivision,Western Athletic Conference,"20,666,105","49,427","308,093","1,922,610","4,345,775","3,908,176","20,593,090","1,809,906","2,771,494","767,850","3,845,490"
Boise State University,142115,2007,Football Bowl Subdivision,Western Athletic Conference,"25,275,959","65,304","349,514","3,051,264","5,510,610","4,156,307","26,236,398","1,850,843","3,522,400","415,650","4,430,742"
Boise State University,142115,2008,Football Bowl Subdivision,Western Athletic Conference,"25,607,867","123,475","359,735","2,204,044","5,567,383","4,785,755","25,578,051","2,253,195","2,884,410","626,500","6,237,477"
Boise State University,142115,2009,Football Bowl Subdivision,Western Athletic Conference,"30,207,049","121,543","330,559","2,822,673","5,900,741","4,854,899","29,936,613","2,338,780","6,406,382","600,000","5,669,473"
Boise State University,142115,2010,Football Bowl Subdivision,Western Athletic Conference,"36,655,700","104,918","281,642","2,757,482","7,735,919","5,652,173","36,932,392","2,773,179","6,553,812","580,000","7,102,661"
Boise State University,142115,2011,Football Bowl Subdivision,Western Athletic Conference,"37,293,281","125,596","383,327","4,038,597","8,106,760","5,849,004","37,524,722","3,612,480","9,594,182","1,500,000","7,615,696"
Boise State University,142115,2012,Football Bowl Subdivision,Mountain West Conference,"43,172,225","134,805","411,603","3,954,637","8,512,642","6,337,067","43,440,905","3,668,995","9,261,601","2,287,500","8,306,921"
Boise State University,142115,2013,Football Bowl Subdivision,Mountain West Conference,"43,292,010","184,118","446,068","3,765,927","9,457,314","6,786,098","43,166,257","3,780,877","11,142,524","1,575,000","8,205,637"
Boise State University,142115,2014,Football Bowl Subdivision,Mountain West Conference,"45,680,801","750,743","588,969","3,790,675","8,649,417","6,926,375","45,706,336","4,677,490","11,050,334","667,000","8,427,884"
Boise State University,142115,2015,Football Bowl Subdivision,Mountain West Conference,"44,227,893","1,215,108","593,491","4,143,321","8,154,754","7,451,678","43,858,018","4,525,661","4,409,017","1,642,000","7,929,402"
Boise State University,142115,2016,Football Bowl Subdivision,Mountain West Conference,"46,741,012","697,249","719,556","4,778,831","8,058,551","7,996,993","46,611,768","5,558,766","10,311,076","532,000","7,853,132"
Boise State University,142115,2017,Football Bowl Subdivision,Mountain West Conference,"45,456,789","716,887","745,947","4,919,212","8,558,520","7,798,848","45,486,486","4,641,861","10,328,892","546,500","7,378,826"
Boise State University,142115,2018,Football Bowl Subdivision,Mountain West Conference,"47,846,748","678,270","773,739","5,113,432","9,591,083","8,379,098","48,109,196","5,160,439","10,641,121","532,000","6,591,176"
Bowling Green State University,201441,2005,Football Bowl Subdivision,Mid-American Conference,"16,411,529","149,008","314,778","1,362,820","2,789,826","4,402,073","16,809,396","616,352","2,170,382","656,000","910,131"
Bowling Green State University,201441,2006,Football Bowl Subdivision,Mid-American Conference,"17,200,166","162,337","348,932","1,334,574","2,934,875","4,782,145","17,615,851","594,163","4,549,215","620,000","1,009,163"
Bowling Green State University,201441,2007,Football Bowl Subdivision,Mid-American Conference,"17,132,784","170,861","371,906","1,411,348","3,287,864","5,037,479","19,995,372","598,419","4,642,670","1,050,000","1,068,708"
Bowling Green State University,201441,2008,Football Bowl Subdivision,Mid-American Conference,"17,789,360","127,610","378,557","2,025,311","3,495,931","5,377,106","19,387,291","876,206","2,917,591","1,049,500","1,141,756"
Bowling Green State University,201441,2009,Football Bowl Subdivision,Mid-American Conference,"18,138,104","111,472","377,267","1,645,560","3,779,236","5,141,764","17,814,168","485,412","999,410","756,500","1,555,220"
Bowling Green State University,201441,2010,Football Bowl Subdivision,Mid-American Conference,"17,850,240","192,330","357,208","1,626,136","3,839,743","5,316,661","18,850,778","503,047","2,925,651","547,000","1,114,805"
Bowling Green State University,201441,2011,Football Bowl Subdivision,Mid-American Conference,"18,031,088","196,434","408,781","1,532,903","3,792,853","5,666,507","20,157,361","395,461","2,157,827","1,250,000","1,192,670"
Bowling Green State University,201441,2012,Football Bowl Subdivision,Mid-American Conference,"18,387,277","195,876","341,097","1,303,043","4,352,340","5,548,560","20,731,957","597,601","911,454","921,000","1,370,319"
Bowling Green State University,201441,2013,Football Bowl Subdivision,Mid-American Conference,"20,701,488","200,802","495,576","1,988,057","4,168,964","5,442,181","23,611,448","476,822","1,258,174","1,725,000","1,862,294"
Bowling Green State University,201441,2014,Football Bowl Subdivision,Mid-American Conference,"23,306,965","141,932","361,417","2,166,457","4,721,086","5,768,405","23,469,664","661,333","1,452,756","1,205,055","1,912,792"
Bowling Green State University,201441,2015,Football Bowl Subdivision,Mid-American Conference,"21,823,070","174,382","428,618","2,036,759","4,966,599","5,916,474","21,824,966","420,565","2,151,989","1,030,900","2,070,484"
Bowling Green State University,201441,2016,Football Bowl Subdivision,Mid-American Conference,"23,719,835","341,762","520,197","2,985,194","5,603,271","6,522,797","22,836,309","429,384","2,068,269","2,164,920","2,000,333"
Bowling Green State University,201441,2017,Football Bowl Subdivision,Mid-American Conference,"23,753,571","330,359","500,880","2,940,442","5,233,069","6,666,233","25,303,291","631,043","2,192,521","1,026,846","1,941,787"
Bowling Green State University,201441,2018,Football Bowl Subdivision,Mid-American Conference,"24,393,090","378,457","526,245","2,670,834","5,825,271","6,976,741","24,673,957","561,551","1,911,442","2,020,479","1,870,354"
California State University-Fresno,110556,2005,Football Bowl Subdivision,Western Athletic Conference,"25,350,352","473,531","362,672","4,049,759","5,931,855","3,263,489","26,691,142","1,976,847","7,237,422","850,000","7,651,092"
California State University-Fresno,110556,2006,Football Bowl Subdivision,Western Athletic Conference,"25,634,086","492,180","375,528","4,154,862","6,163,868","3,237,860","27,096,524","1,788,240","6,558,366","777,500","8,545,065"
California State University-Fresno,110556,2007,Football Bowl Subdivision,Western Athletic Conference,"25,871,953","609,704","402,701","3,573,525","5,916,081","3,351,788","26,646,547","2,215,327","4,916,881","1,366,745","9,167,221"
California State University-Fresno,110556,2008,Football Bowl Subdivision,Western Athletic Conference,"28,856,248","702,062","408,552","4,210,625","6,747,113","3,462,544","27,530,567","1,982,515","5,365,866","1,130,384","9,139,442"
California State University-Fresno,110556,2009,Football Bowl Subdivision,Western Athletic Conference,"28,645,243","565,781","356,185","4,233,580","7,479,770","3,734,046","29,833,531","2,440,366","5,033,063","1,388,030","9,026,578"
California State University-Fresno,110556,2010,Football Bowl Subdivision,Western Athletic Conference,"26,690,524","507,641","284,100","3,594,714","7,016,278","4,313,246","26,648,661","2,189,893","5,300,595","953,090","7,641,089"
California State University-Fresno,110556,2011,Football Bowl Subdivision,Western Athletic Conference,"28,838,967","734,263","286,374","3,583,496","7,304,992","4,775,141","30,190,480","2,408,172","7,171,450","360,030","8,155,890"
California State University-Fresno,110556,2012,Football Bowl Subdivision,Western Athletic Conference,"30,174,803","713,908","333,703","3,974,034","7,402,425","4,881,199","30,724,143","2,487,510","4,837,156","1,683,467","6,545,238"
California State University-Fresno,110556,2013,Football Bowl Subdivision,Mountain West Conference,"33,050,314","628,435","408,090","4,872,898","8,070,594","4,884,376","33,734,773","2,510,942","4,823,268","1,250,035","6,878,575"
California State University-Fresno,110556,2014,Football Bowl Subdivision,Mountain West Conference,"36,436,560","589,144","484,202","5,752,808","8,996,746","5,137,989","36,038,183","3,191,754","4,866,282","525,700","7,891,714"
California State University-Fresno,110556,2015,Football Bowl Subdivision,Mountain West Conference,"41,535,096","1,548,007","568,263","5,382,488","9,138,530","5,556,635","39,073,736","3,030,832","6,276,000","1,186,452","7,802,993"
California State University-Fresno,110556,2016,Football Bowl Subdivision,Mountain West Conference,"44,055,912","1,597,786","622,555","6,059,192","9,487,858","6,578,209","44,804,147","3,113,190","9,155,151","1,004,676","5,368,827"
California State University-Fresno,110556,2017,Football Bowl Subdivision,Mountain West Conference,"44,119,522","1,698,283","676,698","5,445,276","10,714,289","7,044,932","46,215,249","3,443,322","9,601,295","1,075,140","5,119,849"
California State University-Fresno,110556,2018,Football Bowl Subdivision,Mountain West Conference,"51,050,676","1,782,138","647,539","7,377,537","12,251,013","7,811,164","50,636,750","3,582,959","8,837,259","2,674,961","6,204,440"
Central Michigan University,169248,2005,Football Bowl Subdivision,Mid-American Conference,"16,735,819","356,400","386,884","973,946","3,208,173","3,246,816","16,735,819","127,116","1,106,807","703,400","484,718"
Central Michigan University,169248,2006,Football Bowl Subdivision,Mid-American Conference,"17,476,651","303,502","409,771","1,172,770","3,223,867","3,568,522","17,759,667","463,849","971,664","619,450","614,863"
Central Michigan University,169248,2007,Football Bowl Subdivision,Mid-American Conference,"20,283,635","260,425","416,876","1,572,987","3,722,605","4,017,471","20,434,174","787,793","1,320,998","1,137,750","852,761"
Central Michigan University,169248,2008,Football Bowl Subdivision,Mid-American Conference,"21,636,204","290,983","400,908","1,995,642","3,936,132","4,106,655","21,103,460","821,569","1,470,998","1,244,300","881,111"
Central Michigan University,169248,2009,Football Bowl Subdivision,Mid-American Conference,"22,418,292","356,635","426,263","2,420,993","4,074,845","4,599,370","22,224,245","934,361","1,226,723","1,313,750","1,344,708"
Central Michigan University,169248,2010,Football Bowl Subdivision,Mid-American Conference,"24,104,699","381,451","502,429","2,307,562","4,583,736","4,596,393","24,703,101","1,075,459","1,071,654","1,562,950","1,143,383"
Central Michigan University,169248,2011,Football Bowl Subdivision,Mid-American Conference,"23,423,660","344,912","497,926","1,895,846","4,458,767","4,665,580","23,500,552","1,158,145","1,110,601","1,467,000","798,738"
Central Michigan University,169248,2012,Football Bowl Subdivision,Mid-American Conference,"25,738,861","354,730","567,194","2,111,905","4,880,242","4,888,054","25,738,861","1,009,779","1,248,457","1,842,000","692,374"
Central Michigan University,169248,2013,Football Bowl Subdivision,Mid-American Conference,"27,187,504","431,596","519,050","2,478,162","5,239,305","4,990,221","27,680,624","1,021,353","1,024,984","1,323,976","1,843,389"
Central Michigan University,169248,2014,Football Bowl Subdivision,Mid-American Conference,"29,281,777","399,679","666,788","2,783,098","5,343,876","5,509,684","29,281,777","265,700","1,253,633","2,829,750","691,173"
Central Michigan University,169248,2015,Football Bowl Subdivision,Mid-American Conference,"28,491,818","331,216","699,195","2,727,427","5,619,418","5,344,132","27,862,443","546,929","2,066,634","554,784","709,730"
Central Michigan University,169248,2016,Football Bowl Subdivision,Mid-American Conference,"29,618,926","363,255","639,925","3,228,738","6,082,390","5,535,288","31,151,419","543,455","1,774,258","1,192,000","724,471"
Central Michigan University,169248,2017,Football Bowl Subdivision,Mid-American Conference,"31,792,125","361,315","520,073","4,025,075","6,203,506","5,862,595","34,692,784","685,021","2,138,657","973,300","896,919"
Central Michigan University,169248,2018,Football Bowl Subdivision,Mid-American Conference,"32,540,008","499,988","549,165","4,101,508","6,506,300","6,387,466","39,989,495","556,792","1,877,957","1,158,500","632,604"
Clemson University,217882,2005,Football Bowl Subdivision,Atlantic Coast Conference,"39,977,199","532,423","720,091","3,998,167","7,145,096","6,083,034","40,445,377","1,356,704","9,377,793","1,473,514","13,422,924"
Clemson University,217882,2006,Football Bowl Subdivision,Atlantic Coast Conference,"46,863,188","373,059","814,886","6,880,656","8,003,735","7,062,769","46,430,106","2,733,825","8,830,649","1,394,402","14,716,363"
Clemson University,217882,2007,Football Bowl Subdivision,Atlantic Coast Conference,"54,249,905","395,047","891,728","5,923,751","8,381,893","7,574,331","56,028,881","3,155,951","11,072,416","1,298,960","20,909,265"
Clemson University,217882,2008,Football Bowl Subdivision,Atlantic Coast Conference,"60,050,712","529,315","1,081,669","6,369,459","11,076,866","8,749,849","59,180,652","2,929,444","14,109,137","1,414,151","21,097,510"
Clemson University,217882,2009,Football Bowl Subdivision,Atlantic Coast Conference,"61,972,760","410,309","1,018,411","6,205,576","9,128,042","9,328,086","61,416,494","3,662,144","13,468,425","3,161,063","21,279,844"
Clemson University,217882,2010,Football Bowl Subdivision,Atlantic Coast Conference,"56,780,518","499,895","1,058,628","6,831,307","10,936,282","10,003,301","57,562,999","3,213,036","14,988,354","570,754","19,877,413"
Clemson University,217882,2011,Football Bowl Subdivision,Atlantic Coast Conference,"58,367,884","391,133","1,069,565","6,913,221","11,680,412","10,425,599","61,174,977","4,279,155","14,171,740","1,007,500","20,736,842"
Clemson University,217882,2012,Football Bowl Subdivision,Atlantic Coast Conference,"67,783,797","437,995","1,176,718","8,667,362","14,614,380","10,939,865","70,002,280","4,407,240","16,711,479","263,450","21,046,603"
Clemson University,217882,2013,Football Bowl Subdivision,Atlantic Coast Conference,"67,091,087","498,301","1,299,872","8,247,089","13,372,704","11,239,631","69,061,398","4,777,101","13,972,191","2,304,793","21,942,566"
Clemson University,217882,2014,Football Bowl Subdivision,Atlantic Coast Conference,"73,456,221","633,310","1,473,484","10,062,063","15,474,254","13,006,287","74,793,322","4,777,290","19,264,308","254,000","19,984,515"
Clemson University,217882,2015,Football Bowl Subdivision,Atlantic Coast Conference,"82,855,674","766,763","1,713,107","8,311,675","15,690,111","12,988,394","83,534,371","8,104,902","19,970,685","301,760","21,889,774"
Clemson University,217882,2016,Football Bowl Subdivision,Atlantic Coast Conference,"103,059,980","529,483","1,867,325","17,045,488","17,691,803","15,364,538","104,823,057","9,529,399","35,639,063",0,"23,537,134"
Clemson University,217882,2017,Football Bowl Subdivision,Atlantic Coast Conference,"111,126,235","492,827","1,985,838","17,141,487","19,089,916","16,682,991","112,600,964","11,514,471","33,782,757","2,000","25,960,272"
Clemson University,217882,2018,Football Bowl Subdivision,Atlantic Coast Conference,"118,847,123","590,917","2,804,471","13,097,206","24,672,825","16,648,982","120,532,975","13,616,788","40,512,301","70,000","27,649,598"
Coastal Carolina University,218724,2005,Football Championship Subdivision,,"10,857,118","139,314","137,404","678,487","1,820,051","3,250,502","11,045,399","227,315","707,841","144,267","346,293"
Coastal Carolina University,218724,2006,Football Championship Subdivision,,"13,058,924","142,787","196,064","730,802","2,139,564","3,933,599","13,058,924","318,712","1,152,122","178,400","324,691"
